Variable,Label,Description,Values,Concatenated
candx_days,Days from randomization to diagnosis of lung cancer,,Numeric|,Days from randomization to diagnosis of lung cancer |  | Numeric|
clinical_m,Clinical M for staging,Clinical M code for staging (AJCC 6).,".M=""Missing""
0=""M0""
100=""M1""
999=""MX""|","Clinical M for staging | Clinical M code for staging (AJCC 6). M=Missing.
0=No distant metastasis (cancer has not spread to other organs).
100=Distant metastasis is present (cancer has spread to distant organs).
999=Distant metastasis cannot be assessed (insufficient information."
clinical_m_7thed,AJCC 7th edition staging clinical M component,,".M=""Missing""
0=""M0""
100=""M1""
110=""M1a""
120=""M1b""
999=""MX""|","AJCC 7th edition staging clinical M component| |M=Missing.
0=No distant metastasis (cancer has not spread to other organs).
100=Distant metastasis is present (cancer has spread to distant organs).
110=Separate metastatic tumor(s) in the opposite lung or pleural nodules.
120=Single distant metastasis in one organ or site outside the chest.
999=Distant metastasis cannot be assessed (insufficient information)."
clinical_n,Clinical N for staging,Clinical N code for staging (AJCC 6).,".M=""Missing""
0=""N0""
100=""N1""
200=""N2""
300=""N3""
999=""NX""|","Clinical N for staging | Clinical N code for staging (AJCC 6). | .M=Missing.
0=No regional lymph node metastasis (cancer has not spread to nearby lymph nodes).
100=Metastasis in nearby lymph nodes, typically on the same side as the primary tumor (ipsilateral).
200=Metastasis in regional lymph nodes farther away but still on the same side as the primary tumor (e.g., mediastinal or subcarinal nodes).
300=Metastasis in lymph nodes on the opposite side of the body (contralateral) or in supraclavicular lymph nodes (above the collarbone).
999=Regional lymph nodes cannot be assessed (e.g., due to insufficient information or incomplete testing)."
clinical_n_7thed,AJCC 7th edition staging clinical N component,,".M=""Missing""
0=""N0""
100=""N1""
200=""N2""
300=""N3""
999=""NX""|","AJCC 7th edition staging clinical N component |  | .M=Missing.
0=No regional lymph node metastasis (cancer has not spread to nearby lymph nodes).
100=Metastasis in nearby lymph nodes, typically on the same side as the primary tumor (ipsilateral).
200=Metastasis in regional lymph nodes farther away but still on the same side as the primary tumor (e.g., mediastinal or subcarinal nodes).
300=Metastasis in lymph nodes on the opposite side of the body (contralateral) or in supraclavicular lymph nodes (above the collarbone).
999=Regional lymph nodes cannot be assessed (e.g., due to insufficient information or incomplete testing)."
clinical_stag,Clinical Stage,Clinical stage of lung cancer (AJCC 6).,".M=""Missing""
110=""Stage IA""
120=""Stage IB""
210=""Stage IIA""
220=""Stage IIB""
310=""Stage IIIA""
320=""Stage IIIB""
400=""Stage IV""
888=""TNM not available""
900=""Occult Carcinoma""
994=""Carcinoid, cannot be assessed""
999=""Unknown, cannot be assessed""|","Clinical Stage | Clinical stage of lung cancer (AJCC 6). | .M=Missing.
110=Tumor ≤3 cm, no lymph node involvement, no metastasis.
120=Tumor >3 cm but ≤5 cm, no lymph node involvement, no metastasis.
210=Tumor ≤3 cm, lymph node involvement on the same side, no metastasis.
220=Tumor with larger size or local invasion, possible same-side lymph node involvement, no metastasis.
310=Tumor involving lymph nodes in the mediastinum (same side), no metastasis.
320=Tumor invading nearby organs or opposite-side lymph node involvement, no metastasis.
400=Tumor of any size with any lymph node involvement and distant metastasis.
888=""TNM not available""
900=""Occult Carcinoma""
994=""Carcinoid, cannot be assessed""
999=""Unknown, cannot be assessed"""
clinical_t,Clinical T for staging,Clinical T code for staging (AJCC 6).,".M=""Missing""
100=""T1""
200=""T2""
300=""T3""
400=""T4""
999=""TX""|","Clinical T for staging | Clinical T code for staging (AJCC 6). | .M=""Missing""
100=Tumor is 3 cm or less in greatest dimension and confined to the organ of origin.
200=Tumor is more than 3 cm but less than or equal to 5 cm, or involves nearby structures but not the entire organ.
300=Tumor is more than 5 cm or directly invades nearby structures (e.g., pleura, chest wall) but is still localized.
400=Tumor of any size that has invaded critical nearby structures or organs (e.g., mediastinum, diaphragm) or has multiple tumors. 
999=The tumor cannot be evaluated."
clinical_t_7thed,AJCC 7th edition staging clinical T component,,".M=""Missing""
110=""T1a""
120=""T1b""
200=""T2""
210=""T2a""
220=""T2b""
300=""T3""
400=""T4""
999=""TX""|","AJCC 7th edition staging clinical T component |  | .M=""Missing""
110=Tumor is 2 cm or less in greatest dimension.
120=Tumor is more than 2 cm but not more than 3 cm in greatest dimension.
200=Tumor is more than 3 cm but less than or equal to 5 cm, or involves nearby structures but not the entire organ.
210=Tumor is more than 3 cm but not more than 4 cm.
220=Tumor is more than 4 cm but not more than 5 cm.
300=Tumor is more than 5 cm or directly invades nearby structures (e.g., pleura, chest wall) but is still localized.
400=Tumor of any size that has invaded critical nearby structures or organs (e.g., mediastinum, diaphragm) or has multiple tumors.
999=The tumor cannot be evaluated.|"
de_grade,Lung Cancer Grade,"Lung cancer grade.  For ACRIN, this is the ICD-O-3 grade.  For LSS, this comes from a separate question on the DE form.","1=""Grade Cannot be Assessed""
2=""Well Differentiated (G1)""
3=""Moderately Differentiated (G2)""
4=""Poorly Differentiated (G3)""
5=""Undifferentiated (G4)""
6=""Unspecified in Pathology Report""
8=""Unknown""
9=""Missing""|","Lung Cancer Grade | Lung cancer grade.  For ACRIN, this is the ICD-O-3 grade.  For LSS, this comes from a separate question on the DE form. | 1=""Grade Cannot be Assessed""
2=""Well Differentiated (G1)""
3=""Moderately Differentiated (G2)""
4=""Poorly Differentiated (G3)""
5=""Undifferentiated (G4)""
6=""Unspecified in Pathology Report""
8=""Unknown""
9=""Missing""|"
de_stag,"Stage (""Best"": Path if avail., else Clin)","Lung cancer stage (AJCC 6), combining clinical and pathologic staging information.",".M=""Missing""
110=""Stage IA""
120=""Stage IB""
210=""Stage IIA""
220=""Stage IIB""
310=""Stage IIIA""
320=""Stage IIIB""
400=""Stage IV""
888=""TNM not available""
900=""Occult Carcinoma""
994=""Carcinoid, cannot be assessed""
999=""Unknown, cannot be assessed""|","Stage (""Best"": Path if avail., else Clin) | Lung cancer stage (AJCC 6), combining clinical and pathologic staging information. | .M=""Missing""
110=Tumor ≤3 cm, no lymph node involvement, no metastasis.
120=Tumor >3 cm but ≤5 cm, no lymph node involvement, no metastasis.
210=Tumor ≤3 cm, lymph node involvement on the same side, no metastasis.
220=Tumor with larger size or local invasion, possible same-side lymph node involvement, no metastasis.
310=Tumor involving lymph nodes in the mediastinum (same side), no metastasis.
320=Tumor invading nearby organs or opposite-side lymph node involvement, no metastasis.
400=Tumor of any size with any lymph node involvement and distant metastasis.
888=""TNM not available""
900=""Occult Carcinoma""
994=""Carcinoid, cannot be assessed""
999=""Unknown, cannot be assessed""|"
