Pretty Name,Frequency,Entity Type
AP,3493,ORG
CT,2959,ORG
#,2461,CARDINAL
IV,2318,GPE
First,1478,ORDINAL
Comparison,1437,ORG
SVC,1325,ORG
PA & LAT,910,ORG
two,642,CARDINAL
un,605,ORG
subclavian,584,NORP
NG,564,ORG
CHF,474,ORG
Lung,464,PERSON
Two,436,CARDINAL
PFI,409,GPE
Evaluate,392,ORG
NSCLC,357,ORG
carina,332,GPE
W & W/O CONTRAST                                        Clip,326,ORG
today,316,DATE
Findings,316,PERSON
Cardiac,314,ORG
Mild,307,PERSON
RLL,300,ORG
CA,297,ORG
PE,288,ORG
DVT,271,ORG
LUL,261,ORG
NON-CORONARY                          Clip,261,ORG
SOB,250,ORG
ETT,249,ORG
IVC,246,ORG
yesterday,243,DATE
emphysema,242,PERSON
LUNG CA/SDA,241,PERSON
French,232,NORP
Evaluate,229,PERSON
fourth,227,ORDINAL
PTX,223,ORG
one,222,CARDINAL
Followup,212,GPE
Optiray,209,PERSON
Assess,204,ORG
second,199,ORDINAL
NI,198,ORG
COPD,194,ORG
third,190,ORDINAL
NGT,188,ORG
CXR,186,ORG
Coronal,185,ORG
Doppler,176,PERSON
MIN,176,ORG
LLL,175,ORG
LEFT,174,PERSON
Limited,171,ORG
Pulmonary,170,PERSON
Multiplanar,169,GPE
Left lung,167,PERSON
CTA,161,ORG
Contiguous,156,GPE
s/p L,156,ORG
FDG,148,ORG
BRAIN,148,ORG
s/p,147,ORG
Foley,146,PERSON
Left,143,FAC
WED,142,ORG
OG,141,ORG
the same day,138,DATE
PFI,137,ORG
PNA,136,ORG
year,133,DATE
LUNG CA,132,PERSON
PLACEMENT                                      Clip,131,PERSON
FLAIR,126,ORG
Dobbhoff,125,ORG
ETT,124,NORP
Eval,124,PERSON
hernia,118,GPE
CT ABD W&W,117,ORG
three,117,CARDINAL
TWO,116,CARDINAL
s/p LUL,116,ORG
US,115,GPE
pleural,114,GPE
anesthesia,113,GPE
One,111,CARDINAL
CVL,110,ORG
CA,108,WORK_OF_ART
Metastatic,107,NORP
GE,106,ORG
mastoid air cells,104,ORG
PTX,103,PERSON
Bibasilar,103,NORP
Slight,100,PERSON
one day earlier,98,DATE
PET,97,ORG
FRI,96,ORG
Pleural,96,GPE
s/p RUL,96,ORG
lingula,96,PERSON
Left,91,PERSON
REVISED,91,ORG
Left,90,LOC
ICU,89,ORG
LOBE NODULE/SDA,88,ORG
VATS,88,ORG
CT ABD &,88,ORG
Interval,86,ORG
NG,84,GPE
linear,84,ORG
Swan-Ganz,84,WORK_OF_ART
Subcutaneous emphysema,83,PERSON
Titles,83,ORG
earlier the same day,80,DATE
EFFUSION;LEFT,80,PERSON
subcutaneous emphysema,79,PERSON
first,79,ORDINAL
SUN,78,ORG
Single AP,78,ORG
GI,78,ORG
TUE,77,ORG
Small,76,PERSON
OSSEOUS,76,ORG
CAD,75,ORG
LUNG CA LEFT,72,PERSON
one day,72,DATE
RADIOLOGISTS,72,ORG
LOBE CA,69,PERSON
UNILAT,67,ORG
Evaluate,66,LOC
w/,66,PERSON
Chest AP,66,ORG
earlier the same date,66,DATE
RML,63,ORG
Degenerative,63,PERSON
Three,63,CARDINAL
W & W/O CONTRAST,62,ORG
SCLC,62,ORG
NON-CORONARY,62,ORG
Emphysema,61,PERSON
L,59,NORP
MD,59,GPE
U.S.,58,GPE
Mediastinal,57,LOC
lung CA,56,PERSON
EVD,56,ORG
Thoracic,56,ORG
s/p VATS,55,ORG
CVA,55,ORG
Mediastinum,54,PERSON
PEG,54,ORG
Cardiomegaly,54,GPE
Multilevel,53,PERSON
Coronary,53,ORG
sixth,53,ORDINAL
Ventricles,53,PERSON
MRA,52,ORG
LEFT MAIN,52,PERSON
TE,52,ORG
SAT,52,ORG
Cardiomediastinal,51,ORG
CSF,51,ORG
CABG,51,PRODUCT
CEREBELLAR,50,PERSON
French,50,LANGUAGE
SUPINE & ERECT,50,ORG
CV,50,PERSON
fifth,50,ORDINAL
"CA/SDA
 _",49,ORG
s/p CT,49,ORG
PTitle,49,ORG
RVR,49,ORG
Linear,48,ORG
Grayscale,48,GPE
MDCT,47,ORG
Lung CA,47,PERSON
SBO,46,ORG
WBC,45,ORG
LEFT LOWER,45,PERSON
LEFT LUNG CANCER,45,PERSON
EFFUSION,45,PERSON
mCi,45,ORG
Tiny,44,ORG
FIRST,44,ORDINAL
a day earlier,42,DATE
UPRIGHT AP,41,ORG
Trace,40,ORG
VAS,40,ORG
Versed,40,PERSON
ICA,40,ORG
Postoperative,39,PERSON
MCA,39,ORG
TUE,38,PERSON
RUQ,38,ORG
Minimal,38,NORP
node,37,ORG
Complete,36,PERSON
Port-A-Cath,36,FAC
NSCLCA,36,ORG
pleural fluid,36,PERSON
W & W,35,ORG
Unchanged,35,ORG
DFDkq,35,ORG
seventh,35,ORDINAL
MS,35,ORG
Minimal,34,GPE
IJ,34,ORG
EXT,34,ORG
PET-CT,33,ORG
MEDIASTINAL,33,PERSON
Chest CT,33,ORG
Helically,33,ORG
Examination,33,ORG
diverticulitis,33,GPE
ONE,33,CARDINAL
Central,33,ORG
PIC,32,ORG
Contrast,32,ORG
XRT,31,ORG
this morning,31,TIME
Dobhoff,31,PERSON
PLEURAL,31,GPE
Soft,31,PERSON
the day,31,DATE
s/p RLL,31,ORG
FRI,31,PERSON
Lungs,31,WORK_OF_ART
RULobectomy,30,ORG
CA s/p,30,ORG
earlier today,30,TIME
RIJ,30,ORG
Year,30,DATE
Status,29,PERSON
the prior day,29,DATE
IPF,29,ORG
"CA
 REASON",29,CARDINAL
CNS,29,ORG
PE,28,GPE
Noncontrast,28,ORG
CA s/p Total,28,ORG
calculi,28,GPE
MDP,28,ORG
MR CONTRAST GADOLIN                   Clip,28,ORG
"LEG INFRACTION;RULE OUT TUBERCULOSIS
 _",27,ORG
Mediastinal,27,PRODUCT
L,27,GPE
POD,27,ORG
MYOCARDIAL INFARCTION\CATH,27,PERSON
cerebellar mass,27,PERSON
half,27,CARDINAL
MON,27,ORG
LEFT HEMOTHORAX,26,PERSON
Pneumothorax,26,PERSON
STIR,26,ORG
Bony,26,PERSON
AP & LAT,26,ORG
ICH,26,ORG
wean,26,NORP
WAND,26,ORG
MON,26,PERSON
LEFT LUNG CA/SDA,26,PERSON
s/p right upper,25,ORG
s/p LLL,25,ORG
Subsequently,25,ORG
LEFT FOOT,25,PERSON
Evaluate,25,GPE
AMS,25,ORG
daily,25,DATE
LEFT                                     Clip,24,PERSON
Bronchial,24,ORG
UTI,24,ORG
Significant,24,PERSON
hemorrhagic,24,ORG
s/p RML/RLLobectomy,24,ORG
Left PICC,24,FAC
Asymmetric,24,PERSON
O.R.,24,GPE
SMA,24,ORG
WET READ,23,ORG
BONES,23,ORG
the same day earlier,23,DATE
LEFT LUNG NODULE,23,PERSON
Patient,23,PERSON
noon,23,TIME
Dobhoff,22,ORG
Multiple,22,ORG
Portable AP,22,WORK_OF_ART
SUPINE AP,22,ORG
Retrocardiac,22,ORG
CC,22,ORG
LATERAL,22,ORG
RMS,22,ORG
"PE
  Contrast",22,ORG
M.D.         Approved,22,FAC
INR,22,ORG
two days,21,DATE
Pneumonia,21,GPE
six hours,21,TIME
"SOB
 REASON",21,PRODUCT
ED,21,PERSON
EP,21,ORG
Bilateral,21,LOC
CTA NECK W&W/OC & RECONS             Clip,21,ORG
four,21,CARDINAL
w/,21,GPE
earlier in the day,21,DATE
PA,21,ORG
TPN,21,ORG
ORDER,21,ORG
EVAL,20,ORG
DWI,20,ORG
IR,20,ORG
EKG,20,ORG
Adjacent,20,PERSON
M.D.             Approved,20,PERSON
CT GUIDED NEEDLE PLACTMENT              Clip,20,ORG
dysphagia,20,GPE
Gadolinium,20,GPE
Vascular,20,NORP
Mild cardiomegaly,20,PERSON
RENAL,20,GPE
Adenocarcinoma,20,PERSON
"NSCLC
 REASON FOR THIS EXAMINATION",19,ORG
"SOB
 REASON FOR THIS EXAMINATION",19,ORG
NSLC,19,PERSON
Hounsfield,19,PRODUCT
Pneumonectomy,19,PERSON
Brain,19,ORG
middle,19,LOC
AAA,19,ORG
IP,19,ORG
R.,19,NORP
Nonionic,19,ORG
VAP,19,ORG
F,19,PRODUCT
RUE,19,ORG
s/p MI,19,ORG
Trachea,19,PERSON
WED,18,PERSON
s/p RML,18,ORG
S/P,18,ORG
Large,18,PERSON
CXR,18,NORP
KUB,18,ORG
MRA BRAIN W/O CONTRAST                Clip,18,ORG
CCA,18,ORG
two hours earlier,18,TIME
tomorrow,18,DATE
Volumetric,18,PERSON
MR,18,ORG
three days,18,DATE
Left pleural,18,LOC
CA,18,PERSON
EXT VEINS US RIGHT                                    Clip,18,ORG
Dense,18,ORG
MICU,18,ORG
eighth,18,ORDINAL
max,17,PERSON
pleural effusions,17,GPE
A.M.,17,PERSON
PCP,17,ORG
PO,17,ORG
Thrombus,17,ORG
MET,17,ORG
HIV+,17,GPE
OGT,17,ORG
Nodular,17,PERSON
PTX,17,GPE
three hours,17,TIME
s/p fall,17,ORG
SECOND,17,ORDINAL
MAP,17,ORG
s/p LL,16,ORG
Acute,16,ORG
hemangioma,16,ORG
"CANCER-RESPIRATORY FAILURE
 _",16,ORG
GUIDANCE,16,GPE
ANESTHESIA,16,ORG
overnight,16,TIME
node,16,GPE
TB,16,ORG
Skin,16,PERSON
PET CT,16,ORG
Minimal,16,LOC
Drs,16,PERSON
TRV,16,ORG
JVP,16,ORG
four hours,15,TIME
New,15,GPE
Fluid,15,PERSON
s/p NGT,15,ORG
Moderate,15,PERSON
two hours,15,TIME
FFP,15,ORG
Fever,15,GPE
"s/p intubation
 REASON FOR THIS EXAMINATION",15,ORG
PEA,15,ORG
s/p r upper,15,ORG
five hours,15,TIME
FNA,15,ORG
Schmorl,15,PERSON
lung mass,15,PERSON
"s/p CABG

 REASON FOR THIS EXAMINATION",15,ORG
Acute,15,LOC
CEREBELLAR BLEED,15,PERSON
s/p NG,15,ORG
RADIOLOGIST,15,ORG
Dyspnea,15,GPE
SC,14,ORG
XRT,14,PRODUCT
URINARY,14,GPE
THREE,14,CARDINAL
Swan,14,PERSON
Sigmoid,14,PERSON
up to,14,CARDINAL
M.D.              Approved,14,PERSON
STEMI,14,ORG
PO,14,GPE
Tumor,14,GPE
the Attending Radiologist,14,ORG
Left IJ,14,LOC
Multiplanar,14,ORG
s/p RULobectomy,14,ORG
Vascular,14,PRODUCT
one hour,14,TIME
Supine AP,14,ORG
Multifocal,14,PERSON
four hours earlier,14,TIME
Appearance,14,PERSON
Preop,14,GPE
Patchy,14,LOC
CMV,14,ORG
s/p RIJ,14,ORG
Swan-Ganz,14,PERSON
LEFT PANCOAST,14,PERSON
"PTX
 Admitting Diagnosis",14,FAC
Pigtail,13,GPE
NEEDLE BIOPSY US,13,ORG
SAH,13,ORG
A.M.,13,GPE
s/p LULobectomy,13,ORG
Amplatz,13,ORG
Pancoast,13,ORG
ABDOMEN,13,ORG
DOE,13,ORG
Gallbladder,13,PERSON
Kumpe,13,ORG
s/p PICC,13,ORG
s/p Left,13,ORG
GRE,13,ORG
ECA,13,ORG
GUID WIRES,13,ORG
Glidewire,13,PERSON
Analysis,13,PRODUCT
two days ago,13,DATE
fx,13,ORG
SCV,13,ORG
PET/CT,13,ORG
S/P VATS,13,ORG
Pathologic,13,ORG
Hilar,13,NORP
Slight,13,PRODUCT
SCC s/p VATS,13,ORG
LOA,13,ORG
LLE,13,ORG
IMPRESSIONS,13,ORG
AMI,13,ORG
Stable,12,PRODUCT
Layering,12,GPE
jejunum,12,PERSON
Upright AP,12,ORG
LEFT LUNG,12,PERSON
"earlier the same
 day",12,DATE
Patchy,12,NORP
Widespread,12,ORG
ENDOBRONCHIAL U/S,12,ORG
UNILAT LOWER EXT VEINS RIGHT                                    Clip,12,ORG
Intracranial,12,ORG
the day before,12,DATE
s/p XRT,12,ORG
MIDDLE LOBE\BRONCHOSCOPY,12,LOC
Calcifications,12,PERSON
at least two,12,CARDINAL
Lung Ca,12,PERSON
MRA BRAIN W/O CONTRAST                    Clip,12,ORG
ET,12,ORG
LAD,12,ORG
Selective,12,PERSON
ER,12,ORG
Coumadin,12,PERSON
LE,12,GPE
Preoperative,12,PERSON
SEIZURE,12,ORG
CVL/PICC,12,ORG
NAUSEA,11,ORG
Conray,11,ORG
s/p LUL s/p chest tube,11,ORG
RCA,11,ORG
StatLock,11,PRODUCT
Continuous,11,PERSON
YO,11,ORG
s/p RUL resection,11,ORG
SBR,11,ORG
FDG TUMOR IMAGING,11,ORG
Bladder,11,ORG
Correlate,11,ORG
NSCLC s/p sx-lap,11,ORG
Barium,11,GPE
F,11,ORG
Prostate,11,ORG
Bedside AP,11,ORG
