Term,Frequency
chest,22576
portable,7730
clip,19561
number,10434
reason,20094
evaluate,4570
worsening,1368
pnx,19
admitting,8555
hospital,9509
condition,9003
year,8842
old,8976
man,5904
metastatic,2486
papillary,7
thyroid,269
ca,1904
new,3913
primary,465
known,1455
right,29342
desat,71
examination,10777
final,10075
report,10726
clinical,1152
history,4402
carcinoma,534
increasing,583
requirements,25
comparison,5867
made,1769
prior,4982
xray,640
increased,2629
perivascular,17
prominence,341
present,2186
suggesting,357
patients,707
failure,1236
essentially,251
unchanged,5893
impression,6958
changes,2600
pm,7444
different,682
physician,1304
name,7922
initial,1378
pre,1338
please,4500
assess,2677
endotracheal,1245
tube,8350
placement,4688
woman,4266
small,6417
briefly,13
extubated,130
required,56
urgent,23
reintubation,114
respiratory,1037
distress,473
pt,433
w,1579
cuff,61
leak,147
change,5844
indication,4469
yearold,2395
cell,1376
findings,6095
seen,5734
tip,2933
approximately,1121
cm,4041
carina,1102
leftsided,983
subclavian,1121
rightsided,1360
internal,830
jugular,718
central,1685
venous,1103
catheters,66
positions,113
nasogastric,740
appropriate,256
position,2770
continued,420
opacification,1314
compared,3003
retrocardiac,475
density,838
consistent,2064
left,23267
lower,6992
andor,242
consolidation,2111
significant,1652
study,4570
performed,1882
earlier,1059
day,893
eval,4811
expansion,291
intubation,563
ends,234
satisfactory,492
ng,901
proximal,620
stomach,1079
sidehole,29
gastroesophageal,56
junction,526
advanced,539
ij,671
line,3242
upper,8001
svc,1463
atrium,320
curls,5
within,4649
space,608
near,302
complete,691
hemithorax,1503
due,1677
collapse,1642
loculated,624
fluid,2433
hilar,2011
clear,1663
nearcomplete,46
least,205
daily,27
cxr,411
rigid,146
bronch,496
pleurex,44
catheter,2478
pleurx,81
supine,665
also,2682
coils,48
aeration,586
zone,565
evidence,3813
port,645
ge,107
post,4109
thoracentesis,342
status,3751
bronchoscopy,525
none,383
erect,104
view,2200
tips,96
cavoatrial,142
heart,1928
normal,2989
size,2849
demonstrated,870
head,2546
flexed,10
identified,2214
dense,327
mid,1266
fields,216
three,269
nodular,446
opacities,1658
overlying,468
field,782
largest,329
measures,788
diameter,291
additionally,210
patchy,722
opacity,2653
may,1981
represent,1409
congestive,259
osseous,909
structures,1383
unremarkable,1550
lines,320
tubes,1454
multiple,1959
parenchymal,555
nodules,801
zones,121
obstructive,284
involvement,285
tumor,1310
effusions,1849
greater,438
bibasilar,438
dfddp,63
postintubation,12
single,1586
et,956
level,1213
clavicles,36
beneath,32
diaphragm,325
appears,1467
sideport,23
lies,122
beyond,120
expected,437
site,450
progression,563
amount,1177
sparing,84
base,1565
remains,1345
grossly,579
mediastinal,2730
shift,1469
detected,186
chf,758
minimal,660
gross,104
difficult,418
confirm,206
middistal,5
distal,921
svcra,12
interval,6268
completely,220
opacified,155
somewhat,296
unusual,70
course,216
film,911
without,2327
mediastinum,1018
passes,120
associated,1107
slightly,1362
edemaeffusion,4
markedly,198
rotated,91
positioning,284
side,728
residual,805
air,2291
doubt,28
one,853
lying,24
immediately,105
worse,125
midline,940
though,352
slight,826
leftward,225
would,337
exclude,165
redistribution,91
overt,75
area,1128
lucency,222
otherwise,775
thoracic,1264
inlet,261
cvls,1
ngt,264
improvement,621
however,983
nearly,96
soft,1300
tissue,1072
stable,2656
improved,792
ct,9209
wo,2082
contrast,9660
cc,977
non,441
ionic,241
hx,259
melanoma,31
mets,868
brain,2420
optiray,1617
amt,1894
rule,399
metastases,681
technique,2272
axial,1445
scans,59
obtained,2293
administration,756
intravenous,813
morphologically,3
doctor,1260
last,3709
white,532
matter,422
differentiation,143
preserved,181
throughout,742
ventricles,424
dilated,260
images,2604
two,1317
faint,39
foci,448
enhancement,822
frontal,1753
lobes,610
anterior,903
cortical,118
margin,162
another,81
along,972
medial,341
surrounding,713
skull,130
visualized,1362
paranasal,337
sinuses,487
mastoids,10
subtle,156
suspicious,620
mri,1081
recommended,556
evaluation,1411
abd,473
wwo,810
c,1115
pelvis,1638
wcontrast,1250
nonionic,251
ho,441
requested,60
staging,218
e,28
x,2291
drainage,266
pericardial,1120
caused,19
tamponade,138
colon,421
contraindications,1813
iv,3146
abdomen,2191
contiguous,350
bases,370
pubic,91
symphysis,92
oral,297
given,664
allergies,12
week,56
ago,173
torso,259
demonstrate,632
diffuse,1004
thickening,1011
intralobular,17
septae,12
lymphangitic,204
spread,242
increase,1007
drain,389
removal,1030
hypodense,204
lesions,2085
liver,1327
mm,2354
segment,546
remainder,214
subcm,10
nonenhancing,27
hepatic,315
splenic,89
lesion,2586
portal,154
imaging,631
isodense,3
delayed,115
phase,130
today,294
incidental,64
splenule,9
hiatal,108
hernia,219
adrenals,97
kidneys,411
pancreas,375
gallbladder,494
abdominal,850
bowel,981
retroperitoneal,228
mesenteric,243
lymphadenopathy,1194
free,923
pelvic,282
ureters,75
posteroinferior,1
portion,709
bladder,440
filling,328
defect,214
prominent,589
median,132
eminence,1
prostate,168
since,1831
survey,5
demonstrates,664
development,295
innumerable,109
predominantly,240
sclerotic,352
femurs,11
spine,1116
healing,18
rib,567
fracture,803
well,2122
abnormal,456
appearance,1795
incompletely,195
imaged,383
likely,2869
relates,24
trauma,148
surgery,354
cont,1303
lymphangetic,8
disease,2036
lungs,905
paracardial,8
lytic,563
simple,161
cysts,199
hemangioma,46
diagnostic,56
clinically,211
indicated,130
traditional,1
colonoscopy,4
provide,21
mr,1255
yo,500
male,675
metastasi,1
magnevist,476
htn,34
hyperlipidemia,3
admitted,162
effusiontamponade,1
metastasis,680
hypertension,106
hypercholesterolemia,3
nervous,1
system,155
multiplanar,449
tweighted,243
postgadolinium,68
provided,226
planes,51
previous,1770
scan,627
suspected,128
enhancing,714
masses,737
locations,28
primarily,39
cerebral,286
surface,92
focus,520
caudate,23
possibly,351
posterior,1386
thalamus,23
around,158
distortion,51
adjacent,939
anatomy,63
configuration,188
flow,625
major,366
branches,282
circle,42
location,514
un,645
intracranial,958
veins,828
gradient,80
echo,121
numerous,227
susceptibility,141
artifact,206
scattered,323
deep,187
residua,6
hemorrhage,1811
probably,590
related,588
normally,379
aerated,358
leptomeninges,4
hydrocephalus,375
reported,95
dr,1329
stitle,1312
effusionhx,1
helically,57
acquired,348
using,308
collimation,54
interlobular,51
quite,34
extensive,1362
peripheral,290
circumferential,42
pleura,124
involved,39
trace,183
place,1335
enlarged,922
paratracheal,425
lymph,1165
node,687
measuring,1162
nodes,932
illdefined,257
borders,53
portions,277
circumscribed,26
low,665
addition,278
attenuation,343
spleen,447
adrenal,749
glands,250
poles,8
review,152
windows,392
mixed,64
ribs,132
th,174
posteriorly,179
region,1555
concerning,900
smaller,344
correlate,118
bone,781
concern,255
malignant,194
cough,285
resection,1692
allowing,255
reticular,88
pattern,378
axillary,400
border,140
recent,1459
done,221
outside,357
office,2
available,463
direct,167
interstitial,980
processes,78
process,1184
malignancy,562
correlation,278
suggested,90
opportunistic,4
infection,726
ptx,1586
pericaridal,2
presumably,127
reflects,90
described,521
margins,69
cardiac,1150
silhouette,792
visualilze,1
appear,880
decrease,417
infiltrates,379
persist,84
perform,304
uprigt,2
better,480
lef,6
lungsbrain,1
leftmay,1
tapped,6
could,1261
comfort,6
hypoxic,92
tachypneic,10
currently,109
thank,52
request,62
upright,772
previously,1095
densities,167
noted,3672
compromise,28
almost,107
totally,21
entire,196
volume,1107
significantly,457
apices,167
marked,482
exists,19
lateral,1998
wall,1350
changed,563
dated,830
time,500
patient,3276
movability,2
essential,34
question,381
decubitus,75
give,10
convincing,9
results,230
situation,11
permits,5
overall,481
much,115
approached,2
according,30
reports,10
representing,483
assessed,195
certainty,11
pa,1695
lat,1010
infiltrate,1064
weakness,297
sob,528
ad,5
lll,274
congestion,333
exam,1317
shortness,594
breath,698
radiographs,548
next,115
secondary,569
extending,485
apex,759
definite,560
note,722
lateralmost,1
aspect,433
costophrenic,386
angle,360
excluded,731
reticunodular,1
apparent,293
persistent,1422
l,1560
humerus,43
pathologica,1
fx,103
sites,31
radiopharmeceutical,30
data,82
mci,58
tcage,55
mdp,28
remote,38
pathologic,234
renal,827
severe,697
shoulder,68
pain,884
back,386
legs,14
interpretation,182
whole,60
body,624
skeleton,52
projections,54
several,419
areas,947
intense,8
tracer,169
uptake,205
large,2979
comminuted,11
vertebral,767
degenerative,525
nature,89
dedicated,98
films,218
show,219
obvious,107
compression,941
midshaft,2
femur,56
suggests,194
urinary,168
route,47
excretion,67
compatible,358
suggestive,426
correlative,11
taken,74
room,21
suggest,372
plain,51
particularly,176
md,243
first,2496
namepattern,2143
approved,80
mon,247
radline,83
telephonefax,257
consult,104
service,459
hear,85
preliminary,127
transcription,84
call,152
listen,84
overload,306
pathological,40
humeral,47
progressively,14
depressed,4
ms,99
titles,143
moderate,1565
cardiomegaly,328
chronic,571
juxtahilar,20
fissural,28
vascular,1041
mild,1929
abnormality,433
basal,555
readily,15
visible,123
standard,370
placements,67
transvenous,21
ventricular,254
pacer,70
defibrillator,7
lead,57
placed,763
electrode,14
crosses,14
projects,195
floor,41
apical,1814
ventricle,576
heavy,35
asbestosrelated,4
calcification,388
obscures,47
bleed,642
mental,392
noncontrast,550
periventricular,196
hypodensity,253
microvascular,78
ischemia,157
cisterns,147
polypoid,13
mucosal,155
maxillary,164
rout,4
aspirationpneumonia,7
desaturation,164
difficulty,104
clearing,76
secretions,249
image,617
hour,84
monthdayyear,2
acute,2281
preop,259
requirement,153
le,62
swelling,263
extremity,480
contours,747
calcifications,598
involving,677
diaphragmatic,40
pacemaker,164
asbestos,39
exposure,45
nodule,904
sholder,4
myoclonal,4
jerking,4
evalaute,31
limited,856
motion,311
lack,141
occupying,41
days,248
full,68
met,157
etc,51
positive,46
five,63
views,555
dislocation,30
bony,258
saphenous,34
clips,351
sensitive,92
detect,11
neutral,6
elbow,7
oblique,90
leftclip,5
six,67
metaphysis,6
taking,17
account,17
discussed,595
lt,59
gentleman,13
mdct,313
injected,43
intravenously,40
comparisons,347
studies,493
great,139
vessels,413
limits,595
atria,3
bilaterally,558
coronary,352
aortic,570
thickened,87
superior,1067
rounded,284
versus,356
similar,622
consolidationatelectasis,16
cavities,30
heterogeneous,276
attenuating,10
fatty,75
infiltration,111
intra,126
extrahepatic,53
biliary,133
dilatation,271
tail,37
inferior,483
cyst,312
pole,188
aorta,866
aneurysmal,53
sigmoid,209
rectum,203
aneurysm,216
common,535
iliac,246
artery,1854
stenosis,365
superficial,242
femoral,679
inguinalpelvic,1
focal,954
destruction,120
vertebrae,39
pathologicmetastasis,1
involves,43
majority,61
potential,72
cord,526
hyperdense,188
schmorls,16
blastic,120
amenable,41
ctguided,63
biopsy,559
desired,10
extension,177
spinal,516
canal,289
high,255
risk,42
future,12
extent,387
raise,23
typical,39
characterized,175
roughly,43
atrial,104
enlargement,399
ro,1665
pna,1042
fevers,148
confusion,55
fever,559
singlelead,6
evident,199
markings,265
fibrosis,134
subsegmental,294
quadrant,238
frank,39
underlying,563
destructive,79
effect,852
evaluating,27
hyperdensity,66
vessel,256
ischemic,280
ageappropriate,11
atrophy,125
pulmonay,2
evenings,2
adverse,6
except,91
cspine,86
cervical,430
scanning,77
coronal,559
sagittal,757
reformations,185
included,204
partially,378
scout,49
device,69
fractures,259
odontoid,9
eccentric,21
atlantoaxial,5
articulation,2
alignment,86
heights,18
outline,10
multilevel,140
facets,2
uncovertebral,16
joints,46
neural,133
foraminal,98
narrowing,504
levels,295
pronounced,89
disc,236
atherosclerotic,319
carotid,239
arteries,533
bulbs,3
spondylosis,11
tspine,95
enhanced,86
recently,192
centered,102
bodies,169
erode,2
cortex,83
demonstration,11
protruding,5
component,423
current,303
differences,224
redemonstration,35
atypical,85
distribution,127
lspine,51
lumbar,327
refer,68
accompanying,22
additional,524
details,87
ls,57
end,115
plates,13
osteophyte,45
ligamentous,7
hypertrophy,34
facet,63
resulting,88
altered,250
intubated,902
remain,592
volumes,263
larger,223
evaluated,327
abnormalities,390
rul,664
mech,1
vent,98
mechanical,26
ventilation,66
monitoring,94
support,142
devices,94
reflect,265
peribronchial,69
crowding,28
setting,227
developing,160
considered,192
liverlung,1
pw,135
palpation,14
wet,1002
read,1062
enya,35
administered,267
cr,18
multifcal,1
platelike,26
moderatesize,5
tracheobronchial,47
malacia,3
fibroid,20
uterus,95
presents,153
creatinine,32
spiculated,241
presentation,5
weeks,47
calcified,361
hilum,372
apparently,80
discoid,24
tracheal,354
buckling,4
tracheomalacia,6
top,108
representative,18
precarinal,105
station,40
unopacified,14
terminates,606
absence,135
intraabdominal,172
organs,53
limitation,32
multifocal,378
filled,98
sludge,34
hydronephrosis,234
hydroureter,18
calculus,19
pools,2
sac,84
duodenum,96
loops,360
mostly,61
collapsed,275
portocaval,5
cavity,400
moderatesized,152
fibroids,10
mildly,282
distended,212
indwelling,51
foley,160
appendix,42
window,252
deformities,25
osteopenia,34
highly,110
airspace,318
consolidations,242
widespread,118
rij,81
minutes,140
combination,272
concurrent,41
cvl,213
pulmcardiac,4
cardiopulmonary,134
hazy,149
correlated,35
cardiomediastinal,532
mildtomoderately,5
bronchovascular,38
detailed,62
assessment,285
ich,113
global,18
agerelated,37
mucus,73
retention,43
version,148
reformatted,315
infarction,329
sulci,313
mucous,101
sinus,305
remaining,337
mastoid,325
cells,390
ams,56
hypotension,262
correct,45
represents,366
shows,334
hematoma,443
casda,620
mediastinoscopy,88
sternoscopy,2
sheath,436
terminating,426
vein,1363
vascularity,123
coarse,60
periphery,111
brachiocephalic,276
sizeable,12
contour,279
resolved,179
moderatetosevere,60
wide,48
squamous,222
disoid,1
pneumo,172
lul,467
segmentectomy,63
wedge,347
hours,793
thoracotomy,462
disproportionate,2
indicate,99
bulbeval,2
decreased,874
pneumonitis,113
decreasing,101
dc,75
vido,2
schdld,2
tod,6
sinitials,27
coord,1
possible,857
removed,772
improving,186
including,480
yesterday,218
video,96
oropharyngeal,79
swallow,201
swallowing,66
mechanics,3
aspiration,1044
voice,6
hoarseness,4
pharyngeal,49
fluoroscopy,98
collaboration,9
speech,79
pathologist,7
thin,153
liquid,27
nectarthick,11
puree,8
consistencies,50
see,194
official,6
recommendations,11
department,31
poor,113
cricolaryngeal,1
excursion,6
laryngeal,60
premature,20
spillover,15
material,249
valleculae,15
nectar,33
resulted,18
penetration,65
swallowed,4
chin,16
tuck,6
successfully,17
thick,98
liquids,60
vocal,60
cords,5
paralysis,23
water,262
seal,235
noon,37
waterseal,126
nominal,5
background,94
copd,537
scarring,191
relatively,274
asymmetric,212
accounting,39
blunting,188
second,233
bulb,25
suction,64
thanks,90
vw,12
adjoining,1
hemidiaphragm,555
elevated,300
medially,107
attention,94
degree,357
seems,17
followup,504
sc,53
emphysema,1346
dislodged,12
subcutaneous,1127
heterogeneously,70
postsurgical,364
surgical,863
parahilar,16
insertion,132
tracking,73
neck,560
path,36
tachycardia,209
relevant,101
appearances,76
diuresis,31
ensure,32
resolution,283
fibrillation,33
smoking,22
arf,44
provisional,533
pfi,1394
numeric,935
identifier,935
septal,157
middle,1357
nodularity,65
adenopathy,382
constellation,15
raises,72
suspicion,42
although,540
entity,9
nonspecific,227
displayed,76
reviewed,311
series,406
fluidattenuating,1
main,1049
bronchus,1344
tailored,89
subdiaphragmatic,120
consider,66
pet,159
warranted,50
lf,1118
unit,112
eo,43
pancytopenia,5
sided,677
hearing,3
loss,869
falls,32
symmetric,51
mildtomoderate,134
territory,49
infarct,371
ethmoid,106
pneumatized,19
parietooccipital,69
calvarium,32
spiked,10
temp,26
overnight,35
ipf,69
might,154
temperature,13
questionable,113
retrocardial,2
hila,97
need,164
heparinization,4
probable,354
pe,982
territorial,156
extraaxial,200
confluent,217
hypodensities,129
infarcts,131
lacunar,37
ganglia,101
external,108
capsule,24
pathology,286
gadoliniumenhanced,20
detection,37
cause,109
rales,20
atelectatic,173
little,263
proper,50
flare,18
diagnosed,158
obscuration,65
angles,41
paraspinal,52
fiducial,54
seeds,26
basilar,708
cyberins,4
marker,24
lungpleura,4
cyberct,2
guidneedl,2
plmtmonth,2
mod,182
sedation,268
min,188
addl,186
reveals,70
nsclc,574
opted,2
treatment,82
cyberknife,20
therapy,136
paraspinally,2
showing,56
nonsmall,485
procedure,985
seed,61
informed,151
procedural,339
benefits,92
risks,104
gave,2
written,69
consent,147
proceed,7
table,115
localization,53
targeted,13
skin,212
lidocaine,152
gold,36
introduced,29
needle,437
introducer,40
spinous,19
tissues,358
muscles,16
inferiorly,127
separate,41
introducers,1
transverse,124
turned,5
subcutaneously,13
deployed,33
tolerated,121
immediate,176
complications,234
monitored,61
nurse,59
trained,4
conscious,24
mcg,47
fentanyl,63
mg,55
versed,54
attending,201
radiologist,234
cavitary,181
costochondral,2
fat,176
successful,194
paraspinous,2
muscle,38
esophagus,292
strictures,10
ulcer,31
dysphagia,34
ulcers,37
