Term,TF-IDF
right,695.3142543652792
chest,637.8819891335786
left,576.1772973829858
reason,439.34868535461067
clip,407.7723998554149
tube,388.88538523676584
change,324.2124212685117
interval,322.03229034389483
portable,311.0934965910958
name,284.1985415223006
upper,283.02219390317515
contrast,276.7009900100856
unchanged,266.0112246549071
placement,264.5296979390635
lower,261.1597589147943
ct,258.82468373393897
eval,251.81057220705966
examination,243.15773781790688
pm,225.07605304123103
report,223.19292897199793
number,221.57524067251288
admitting,220.31371203001143
small,219.1230009945353
old,218.71762752774856
hospital,217.5007921889775
year,216.774801223219
final,216.4128575807016
man,211.0406983189528
condition,208.82992463684832
please,208.65667374752945
seen,207.55872890078825
evaluate,206.79685071162032
prior,195.62538504210843
study,194.8243269725001
findings,194.57371636345786
comparison,192.2134029635638
line,187.8594029275185
impression,183.46335077866405
woman,182.89259366204578
post,182.07157936046164
new,179.86713969371658
history,176.59153359249316
status,169.77473345075663
assess,165.84281427688825
tip,162.78353414321913
within,160.67125740417973
lobectomy,159.32860295931613
indication,159.0127593455368
position,158.9639588735632
compared,158.75492890688383
evidence,152.42859526712243
opacity,150.61926977518766
last,150.57619221326337
cm,150.07210997181855
stable,145.49372125139482
noted,141.87568991733642
ptx,140.98005789804097
pneumonectomy,136.30879836431563
increased,136.26737423949643
patient,134.6420140572411
mediastinal,132.6546475585748
pa,132.57170229390414
size,132.29224726635488
large,130.78505900586543
changes,129.76453503533327
apical,127.49706714164547
acute,126.92907001497409
consolidation,125.38621218691355
normal,124.67059638524566
picc,124.4035290971826
catheter,124.01228994780718
lf,123.06660866751211
view,121.56404253695561
first,120.38721000846655
likely,119.50464013428137
fluid,117.9176672955743
head,117.26464571912001
effusions,116.67328348559863
ro,116.20857546978249
brain,116.19363488528118
air,115.10380720106289
tubes,114.84888388331674
collapse,112.70214539424487
previous,112.63860837661103
resection,112.16537261716613
lateral,111.68475942737481
clear,110.5981519262993
hemithorax,110.25996849207718
heart,109.45746804713134
ca,108.8801913585421
since,108.32060097368175
present,107.6757867409138
metastatic,107.66229294217098
also,106.3392140045165
namepattern,106.11191224346828
opacities,105.6128956542912
base,104.52778900866478
hilar,104.35729331964485
single,103.94614607625307
consistent,103.84039376229497
worsening,103.49186726794252
iv,102.97997098525222
appearance,102.71530377963691
yearold,102.68546841564095
pfi,101.47399339128903
mild,100.10962852811217
made,99.63085759602406
identified,99.22956837701125
persistent,99.09693324211672
lesion,98.94290229175648
initial,98.58523935685726
infiltrate,98.47015033953193
